This data documents the distribution of dandelions in a 10 m by 10 m field
Columns: x position (m), uncertainty in x, y position (m), uncertainty in y, count
6.1,0.6,4.1,0.6,29
7.0,0.6,5.2,0.6,2
8.8,0.4,9.5,0.5,9
7.2,0.1,3.4,0.1,34
6.1,0.4,9.8,0.4,17
6.9,0.6,3.2,0.6,16
9.5,0.5,4.9,0.5,16
0.2,0.5,3.1,0.8,10
0.9,0.6,7.5,0.6,39
8.1,0.6,5.2,0.6,17
5.0,0.6,5.3,0.6,32
6.6,0.9,8.8,0.5,6
0.9,0.3,2.1,0.3,20
7.4,0.6,7.1,0.6,30
6.2,0.6,5.6,0.6,30
5.2,0.4,9.5,0.9,28
9.8,0.5,2.7,0.5,8
6.3,0.6,1.4,0.6,36
0.7,0.4,8.3,0.6,28
4.4,0.6,1.6,0.4,23
4.0,0.3,9.4,0.9,10
4.4,0.1,0.7,0.1,21
9.5,0.6,7.9,0.6,8
5.1,0.8,4.9,0.8,23
2.8,0.5,3.2,0.5,9
2.5,0.6,3.5,0.6,17
2.3,0.6,3.3,0.6,28
6.5,0.3,0.7,0.9,9
1.7,0.1,6.8,0.1,31
2.8,0.6,7.4,0.6,13
2.4,0.4,4.1,0.5,14
9.8,0.6,9.8,0.6,22
2.2,0.6,0.3,0.6,15
0.5,0.6,1.4,0.4,32
0.3,0.9,10.0,0.9,17
3.5,0.6,8.9,0.6,16
2.9,0.4,8.4,0.4,18
4.9,0.6,8.4,0.6,28
9.1,0.6,4.0,0.6,16
8.7,0.5,1.9,0.8,15
3.9,0.6,7.4,0.6,22
2.8,0.6,9.5,0.6,35
6.4,0.4,8.8,0.1,33
2.1,0.6,5.5,0.6,13
3.3,0.6,3.9,0.6,29
2.6,0.9,6.4,0.3,24
6.4,0.6,3.3,0.6,17
2.3,0.1,4.2,0.1,22
4.8,0.6,9.2,0.6,14
10.0,0.4,8.6,0.4,27
